,status_cat,age_norm,age_bin_cat,education_cat,profession_cat,device_cat,account_balance_norm,loan_cat,mortgage_cat,credit_cat,positive_cat,consent_cat,n_contact_min_max,l_month_cat,l_call_duration,l_call_duration_min_max,p_outcome_cat,n_p_contact_min_max,p_days_min_max,p_campign_cat,subscribed_cat
87,1,0.4840440204193525,3,0,2,0,2.9178612569322127,0,1,0,1,1,0.03225806451612903,8,655,0.14753727971079983,1,0.0,0.0,0,1
88,2,-0.17690174674309314,2,2,8,0,-0.22341745156717507,1,1,0,1,0,0.04838709677419355,0,259,0.05806597379123363,1,0.0,0.0,0,0
91,2,-0.8378475139055388,2,1,5,1,1.347221902682519,0,0,0,1,0,0.04838709677419355,9,106,0.02349751468594668,1,0.0,0.0,0,0
92,1,0.7673064920604007,3,2,9,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,3,114,0.025305015815634886,0,0.007272727272727273,0.21428571428571427,1,0
93,2,-0.9322683377858881,2,1,3,0,1.347221902682519,0,0,0,1,0,0.03225806451612903,6,238,0.053321283325802084,2,0.01090909090909091,0.07142857142857142,1,0
95,2,-0.7434266900251895,2,1,3,0,0.5619022255576719,0,1,0,1,0,0.0,8,53,0.011522819701762313,0,0.01090909090909091,0.21428571428571427,1,0
96,1,1.5226730831031956,4,2,7,0,2.132541579807366,0,0,0,1,0,0.016129032258064516,1,94,0.02078626299141437,1,0.0,0.0,0,0
97,1,-0.3657433945037919,2,1,3,0,-0.22341745156717507,0,1,0,1,0,0.0,8,333,0.07478535924084953,1,0.0,0.0,0,0
98,0,1.1449897875817983,4,1,3,0,0.5619022255576719,0,0,0,1,0,0.016129032258064516,7,115,0.02553095345684591,1,0.0,0.0,0,0
99,0,1.0505689637014488,4,2,5,0,-0.22341745156717507,0,0,0,1,0,0.06451612903225806,5,356,0.07998192498870313,1,0.0,0.0,0,0
100,1,0.6728856681800512,3,2,2,0,-0.22341745156717507,1,1,0,1,0,0.016129032258064516,8,153,0.03411658382286489,1,0.0,0.0,0,0
101,2,-0.4601642183841413,2,2,6,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,6,333,0.07478535924084953,1,0.0,0.0,0,0
102,1,-0.3657433945037919,2,1,3,0,-0.22341745156717507,0,1,0,1,0,0.04838709677419355,8,264,0.059195661997288755,1,0.0,0.0,0,0
103,1,0.10636072489795499,3,2,9,0,0.5619022255576719,0,0,0,1,0,0.016129032258064516,8,132,0.02937189335743335,1,0.0,0.0,0,0
105,1,1.0505689637014488,4,2,7,0,-1.0087371286920221,0,1,0,0,0,0.016129032258064516,1,126,0.028016267510167194,1,0.0,0.0,0,0
106,1,1.2394106114621475,4,1,8,0,-0.22341745156717507,0,1,0,1,1,0.016129032258064516,3,619,0.1394035246272029,2,0.0036363636363636364,0.2857142857142857,1,1
109,2,-0.5545850422644907,2,1,3,0,-0.22341745156717507,0,1,0,1,0,0.1774193548387097,8,754,0.16990510619069138,1,0.0,0.0,0,0
110,1,-0.2713225706234425,2,2,9,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,3,300,0.06732941708088568,1,0.0,0.0,0,0
111,0,-0.3657433945037919,2,1,3,0,-0.22341745156717507,0,1,0,1,0,0.0,6,206,0.04609127880704926,1,0.0,0.0,0,0
112,1,-1.0266891616662375,1,2,2,0,-0.22341745156717507,0,1,0,1,0,0.03225806451612903,8,430,0.09670131043831903,1,0.0,0.0,0,0
113,1,1.5226730831031956,4,0,0,0,-1.0087371286920221,0,1,0,0,0,0.016129032258064516,6,359,0.0806597379123362,1,0.0,0.0,0,0
114,1,-0.9322683377858881,2,1,7,0,-0.22341745156717507,1,1,0,1,0,0.08064516129032258,4,141,0.03140533212833258,0,0.01090909090909091,0.2857142857142857,1,0
115,1,0.86172731594075,3,2,8,0,-0.22341745156717507,0,1,0,1,0,0.04838709677419355,8,66,0.014460009037505649,1,0.0,0.0,0,0
116,2,-1.404372457187635,1,2,8,0,-0.22341745156717507,0,1,0,1,0,0.0,8,309,0.06936285585178491,1,0.0,0.0,0,0
117,0,-0.9322683377858881,2,1,5,0,-0.22341745156717507,0,0,1,1,0,0.0,9,58,0.012652507907817443,1,0.0,0.0,0,0
118,0,1.7115147308638945,4,2,2,0,-0.22341745156717507,0,1,0,1,0,0.0,5,266,0.059647537279710804,1,0.0,0.0,0,0
119,1,-0.08248092286274376,2,1,3,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,8,97,0.021464075915047447,1,0.0,0.0,0,0
120,2,-1.404372457187635,1,2,6,0,-0.22341745156717507,0,0,0,1,1,0.0,3,198,0.04428377767736105,1,0.0,0.0,0,1
121,1,-0.3657433945037919,2,1,3,1,0.5619022255576719,0,0,0,1,0,0.04838709677419355,5,598,0.13465883416177135,1,0.0,0.0,0,0
122,1,-0.64900586614484,2,2,9,0,-0.22341745156717507,1,0,0,1,0,0.0,8,21,0.004292815183009489,1,0.0,0.0,0,0
123,1,-0.8378475139055388,2,2,5,0,-1.0087371286920221,0,0,0,0,0,0.12903225806451613,1,205,0.045865341165838236,1,0.0,0.0,0,0
124,1,0.7673064920604007,3,2,2,0,-0.22341745156717507,1,0,0,1,0,0.08064516129032258,5,125,0.02779032986895617,1,0.0,0.0,0,0
126,0,-0.4601642183841413,2,0,2,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,8,491,0.11048350655219161,1,0.0,0.0,0,0
127,1,1.4282522592228464,4,2,5,0,-0.22341745156717507,0,1,0,1,0,0.04838709677419355,6,200,0.04473565295978311,1,0.0,0.0,0,0
128,2,-1.3099516333072858,1,1,3,0,-0.22341745156717507,0,0,0,1,0,0.0,8,131,0.029145955716222322,1,0.0,0.0,0,0
129,1,0.3896231965390031,3,0,4,0,-0.22341745156717507,0,1,0,1,0,0.03225806451612903,8,88,0.019430637144148215,1,0.0,0.0,0,0
130,1,-0.64900586614484,2,2,8,0,-0.22341745156717507,0,0,0,1,0,0.03225806451612903,3,55,0.011974694984184365,1,0.0,0.0,0,0
131,1,-0.3657433945037919,2,1,3,0,-0.22341745156717507,0,0,0,1,0,0.0,11,142,0.03163126976954361,1,0.0,0.0,0,0
133,1,-0.64900586614484,2,2,4,0,-0.22341745156717507,1,1,0,1,0,0.11290322580645161,1,125,0.02779032986895617,1,0.0,0.0,0,0
134,2,-1.0266891616662375,1,1,3,0,-0.22341745156717507,1,0,0,1,0,0.0,3,430,0.09670131043831903,1,0.0,0.0,0,0
135,1,0.10636072489795499,3,2,2,0,0.5619022255576719,0,1,0,1,0,0.0,8,131,0.029145955716222322,1,0.0,0.0,0,0
136,1,-0.5545850422644907,2,2,9,0,-0.22341745156717507,0,1,0,1,0,0.0,0,552,0.12426570266606417,0,0.014545454545454545,0.2857142857142857,1,0
137,1,1.1449897875817983,4,0,2,0,-0.22341745156717507,0,1,0,1,0,0.03225806451612903,8,50,0.010845006778129237,1,0.0,0.0,0,0
138,1,-1.0266891616662375,1,1,9,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,5,190,0.042476276547672845,1,0.0,0.0,0,0
139,2,0.5784648442997019,3,2,5,1,-0.22341745156717507,0,0,0,1,0,0.0,3,32,0.006778129236330773,1,0.0,0.0,0,0
140,2,-0.8378475139055388,2,1,3,0,-0.22341745156717507,0,1,0,1,1,0.0,6,88,0.019430637144148215,1,0.0,0.0,0,1
141,2,-0.64900586614484,2,0,2,0,-0.22341745156717507,0,1,0,1,0,0.0,8,293,0.0657478535924085,1,0.0,0.0,0,0
142,1,-0.08248092286274376,2,2,5,0,-0.22341745156717507,1,0,0,1,0,0.0,5,127,0.028242205151378222,1,0.0,0.0,0,0
143,1,-0.5545850422644907,2,2,8,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,0,88,0.019430637144148215,1,0.0,0.0,0,0
144,2,-0.2713225706234425,2,1,5,0,-0.22341745156717507,0,0,0,1,0,0.04838709677419355,5,300,0.06732941708088568,1,0.0,0.0,0,0
146,1,1.333831435342497,4,1,3,1,-0.22341745156717507,1,1,0,1,0,0.0,4,92,0.02033438770899232,0,0.02181818181818182,0.07142857142857142,1,0
147,1,-0.7434266900251895,2,0,2,0,-0.22341745156717507,0,1,0,1,0,0.0,8,495,0.1113872571170357,1,0.0,0.0,0,0
148,1,1.4282522592228464,4,0,1,0,-0.22341745156717507,1,0,0,1,0,0.0,5,193,0.043154089471305924,1,0.0,0.0,0,0
149,1,1.617093906983545,4,0,2,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,8,69,0.015137821961138725,1,0.0,0.0,0,0
150,0,-0.5545850422644907,2,2,5,0,-0.22341745156717507,0,1,0,1,0,0.08064516129032258,8,167,0.03727971079981925,1,0.0,0.0,0,0
151,1,-0.2713225706234425,2,1,5,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,9,228,0.05106190691369183,0,0.01090909090909091,0.07142857142857142,1,0
152,2,-1.7820557527090326,1,2,10,0,-0.22341745156717507,0,0,0,1,1,0.016129032258064516,4,131,0.029145955716222322,1,0.0,0.0,0,1
154,1,-0.9322683377858881,2,2,8,0,-1.0087371286920221,1,1,0,0,0,0.016129032258064516,5,726,0.16357885223678265,1,0.0,0.0,0,0
155,1,2.844564617428087,6,2,0,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,1,335,0.07523723452327158,0,0.0036363636363636364,0.3571428571428571,1,0
157,1,0.6728856681800512,3,2,3,0,-1.0087371286920221,1,0,0,0,0,0.24193548387096775,5,7,0.001129688206055129,1,0.0,0.0,0,0
158,1,1.805935554744244,4,1,4,0,-0.22341745156717507,0,1,0,1,0,0.0,8,295,0.06619972887483055,1,0.0,0.0,0,0
159,1,-1.3099516333072858,1,2,2,0,1.347221902682519,0,0,0,1,0,0.016129032258064516,8,232,0.05196565747853593,1,0.0,0.0,0,0
160,1,-0.08248092286274376,2,1,3,0,-0.22341745156717507,0,0,0,1,0,0.0,8,39,0.008359692724807953,1,0.0,0.0,0,0
161,2,-0.7434266900251895,2,2,2,0,-0.22341745156717507,1,1,0,1,0,0.03225806451612903,5,168,0.03750564844103028,1,0.0,0.0,0,0
162,2,-0.4601642183841413,2,1,9,0,-0.22341745156717507,0,0,0,1,0,0.04838709677419355,9,108,0.02394938996836873,0,0.025454545454545455,0.07142857142857142,1,0
163,0,0.7673064920604007,3,0,5,0,-0.22341745156717507,1,0,0,1,0,0.03225806451612903,5,112,0.024853140533212834,1,0.0,0.0,0,0
164,1,0.3896231965390031,3,0,2,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,1,113,0.02507907817442386,1,0.0,0.0,0,0
165,1,0.20078154877830437,3,1,9,0,-0.22341745156717507,0,1,0,1,0,0.0,3,103,0.022819701762313602,1,0.0,0.0,0,0
166,1,-0.08248092286274376,2,0,8,0,-1.0087371286920221,1,0,0,0,0,0.0,5,151,0.033664708540442845,1,0.0,0.0,0,0
167,1,-0.17690174674309314,2,1,3,0,-0.22341745156717507,0,0,0,1,1,0.0,11,196,0.043831902394939004,3,0.01818181818181818,0.21428571428571427,1,1
169,2,-0.9322683377858881,2,2,8,0,-0.22341745156717507,0,1,0,1,0,0.0,5,328,0.07365567103479441,1,0.0,0.0,0,0
170,1,2.089198026385292,5,0,2,1,-0.22341745156717507,0,0,0,1,1,0.0,0,295,0.06619972887483055,0,0.025454545454545455,0.21428571428571427,1,1
171,1,-0.64900586614484,2,0,4,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,0,166,0.03705377315860823,0,0.0036363636363636364,0.3571428571428571,1,0
172,2,-0.7434266900251895,2,1,6,0,-0.22341745156717507,0,1,0,1,0,0.0,6,296,0.06642566651604158,1,0.0,0.0,0,0
173,1,0.20078154877830437,3,0,2,0,-0.22341745156717507,0,1,0,1,0,0.04838709677419355,6,74,0.016267510167193855,1,0.0,0.0,0,0
174,2,-0.9322683377858881,2,1,9,0,2.132541579807366,1,1,0,1,0,0.0,6,234,0.05241753276095798,1,0.0,0.0,0,0
175,2,-0.8378475139055388,2,1,3,0,-0.22341745156717507,0,0,0,1,0,0.0,1,145,0.032309082693176686,1,0.0,0.0,0,0
176,1,-1.0266891616662375,1,1,3,0,-0.22341745156717507,1,1,0,1,0,0.04838709677419355,6,181,0.04044283777677361,1,0.0,0.0,0,0
177,1,1.333831435342497,4,1,5,0,-0.22341745156717507,0,0,0,1,0,0.0,9,40,0.00858563036601898,1,0.0,0.0,0,0
178,1,0.4840440204193525,3,2,8,0,-0.22341745156717507,1,1,0,1,0,0.016129032258064516,0,135,0.030049706281066426,1,0.0,0.0,0,0
179,1,1.4282522592228464,4,0,2,0,-0.22341745156717507,0,1,0,1,0,0.0,8,396,0.08901943063714415,1,0.0,0.0,0,0
180,1,-0.17690174674309314,2,0,2,0,0.5619022255576719,0,0,0,1,0,0.0,5,99,0.0219159511974695,1,0.0,0.0,0,0
181,1,-1.3099516333072858,1,2,5,0,-0.22341745156717507,1,0,0,1,0,0.0,3,802,0.18075011296882063,1,0.0,0.0,0,0
183,1,-0.9322683377858881,2,0,10,0,-0.22341745156717507,0,1,0,1,1,0.0,5,440,0.09896068685042929,1,0.0,0.0,0,1
184,1,1.1449897875817983,4,1,4,0,0.5619022255576719,1,1,0,1,0,0.0,9,167,0.03727971079981925,1,0.0,0.0,0,0
185,1,-0.3657433945037919,2,2,6,0,-0.22341745156717507,0,0,0,1,0,0.0,4,202,0.045187528242205156,1,0.0,0.0,0,0
186,1,1.333831435342497,4,0,3,0,-0.22341745156717507,0,1,0,1,1,0.016129032258064516,8,306,0.06868504292815183,1,0.0,0.0,0,1
187,1,1.617093906983545,4,0,0,0,-0.22341745156717507,0,0,0,1,0,0.016129032258064516,1,144,0.03208314505196566,1,0.0,0.0,0,0
188,2,-0.7434266900251895,2,1,3,0,0.5619022255576719,0,1,0,1,0,0.0,9,243,0.05445097153185721,1,0.0,0.0,0,0
189,2,-0.8378475139055388,2,1,5,0,-0.22341745156717507,0,1,0,1,0,0.0,0,173,0.03863533664708541,2,0.0036363636363636364,0.3571428571428571,1,0
190,1,1.2394106114621475,4,0,2,0,1.347221902682519,0,0,0,1,0,0.016129032258064516,9,94,0.02078626299141437,1,0.0,0.0,0,0
191,1,-0.8378475139055388,2,2,2,0,-0.22341745156717507,0,1,0,1,0,0.016129032258064516,8,270,0.06055128784455491,1,0.0,0.0,0,0
192,1,1.4282522592228464,4,2,0,0,-0.22341745156717507,1,0,0,1,0,0.04838709677419355,1,101,0.02236782647989155,1,0.0,0.0,0,0
